,TIMESTAMP_x,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep) ,TimeStr,HOD,AVG_DEMAND_KW_CALCULATED_12,NSN_LF59_BLDG-CDW-LOOP_CDW-FLOW,NSN_LF59_BLDG-CDW-LOOP_CDW-T-R,NSN_LF59_BLDG-CDW-LOOP_CDW-T-S,NSN_LF59_COOLING-TOWER_FAN-HI,NSN_LF59_COOLING-TOWER_FAN-LO,NSN_LF59_COOLING-TOWER_FAN-STAT,NSN_LF59_CWP-1-VFD_VFD-SIG,NSN_LF59_CWP-1_PMP,NSN_LF59_CWP-1_PMP-STAT,NSN_LF59_BOILER-1_HW-T-E,NSN_LF59_BOILER-1_HW-T-L,NSN_LF59_PWSHP-2_CLG-COIL-T,NSN_LF59_PWSHP-2_OA-FLOW,NSN_LF59_PWSHP-2_SA-T,NSN_LF59_PWSHP-2_SA-T-STPT,NSN_LF59_WSHP-01_DA-T,NSN_LF59_WSHP-01_LW-T,NSN_LF59_WSHP-01_ZN-STPT-CL-EFF,NSN_LF59_WSHP-01_ZN-STPT-HT-EFF,NSN_LF59_WSHP-01_ZN-T,NSN_LF59_WSHP-12_DA-T,NSN_LF59_WSHP-12_LW-T,NSN_LF59_WSHP-12_ZN-STPT-CL-EFF,NSN_LF59_WSHP-12_ZN-STPT-HT-EFF,NSN_LF59_WSHP-12_ZN-T,NSN_LF59_BuildingKWhdSum,NSN_LF59_BuildingKWHdSumAnnualized
14418,1900-05-31 04:45:00,12.35,10.64131249,81.5,05-31 04:45,4.75,99.76375942,214.78173828125,90.04015350341797,83.11898040771484,0.0,1.0,1.0,30.0,1.0,1.0,80.64598083496094,80.77606201171875,0.0,165.80812072753906,0.0,70.0,47.35780715942383,95.2965087890625,71.0,63.0,71.40520477294922,90.065185546875,87.0689926147461,71.0,65.0,77.5999984741211,4029778.5,735723.9375
14419,1900-05-31 05:00:00,12.2,10.64146797,83.0,05-31 05:00,5.0,98.04538105,218.0269317626953,89.05768585205078,83.04093170166016,0.0,0.0,0.0,30.0,1.0,1.0,80.55005645751953,80.37796783447266,0.0,132.45585632324222,0.0,70.0,46.95781326293945,93.37577056884766,71.0,63.0,71.13854217529297,89.99851989746094,86.60887145996094,71.0,65.0,77.5999984741211,4029813.25,735776.875
14420,1900-05-31 05:15:00,12.475,10.92624723,83.25,05-31 05:15,5.25,87.68259595,214.20993041992188,89.81886291503906,84.38214874267578,0.0,1.0,1.0,30.0,1.0,1.0,80.34004211425781,80.77999877929688,0.0,43.4160270690918,0.0,70.0,46.94277572631836,94.6255874633789,71.0,63.0,70.98593139648438,89.93185424804688,87.0088882446289,71.0,65.0,77.565185546875,4029831.75,735776.875
14421,1900-05-31 05:30:00,12.75,11.21144021,83.5,05-31 05:30,5.5,92.03845425,212.78781127929688,89.14056396484375,82.63893127441406,0.0,0.0,0.0,30.0,1.0,1.0,81.17396545410156,80.77999877929688,0.0,70.02104949951172,0.0,70.0,46.99277877807617,93.53107452392578,71.0,63.0,70.85259246826172,89.8477783203125,86.72997283935547,71.0,65.0,77.49851989746094,4029860.5,735795.625
14422,1900-05-31 05:45:00,13.025,11.49703757,83.75,05-31 05:45,5.75,91.01338715,213.9632873535156,89.69055938720703,84.03996276855469,0.0,0.0,0.0,30.0,1.0,1.0,80.11402893066406,80.77999877929688,0.0,165.1566162109375,0.0,70.0,46.74332809448242,94.07000732421876,71.0,63.0,70.71925354003906,89.7477798461914,87.34449768066406,71.0,65.0,77.43185424804688,4029885.5,735824.8125
14423,1900-05-31 06:00:00,13.3,11.78305005,84.0,05-31 06:00,6.0,92.00684759,214.0612030029297,89.84442901611328,83.05779266357422,0.0,1.0,1.0,30.0,1.0,1.0,80.99797821044922,80.68799591064453,0.0,162.65316772460938,0.0,70.0,46.44332885742188,94.1999969482422,71.0,63.0,70.52888488769531,89.64777374267578,86.94220733642578,71.0,65.0,77.36518859863281,4029902.5,735850.125
14424,1900-05-31 06:15:00,14.0,12.14903422,81.0,05-31 06:15,6.25,87.22695257,220.0500640869141,89.43224334716797,83.76775360107422,0.0,0.0,0.0,30.0,1.0,1.0,80.33601379394531,80.5580062866211,0.0,160.15890502929688,0.0,70.0,46.14332962036133,94.1999969482422,71.0,63.0,70.32888793945311,89.565185546875,87.1099853515625,71.0,65.0,77.29851531982422,4029939.5,735867.375
14425,1900-05-31 06:30:00,14.7,12.49801552,78.0,05-31 06:30,6.5,83.89794442,221.2788391113281,89.93998718261719,82.90222930908203,0.0,1.0,1.0,30.0,1.0,1.0,80.90999603271484,80.77599334716797,0.0,166.47604370117188,0.0,70.0,59.78910446166992,85.6443099975586,71.0,63.0,70.9416732788086,89.49851989746094,87.19890594482422,71.0,65.0,77.23184967041016,4029959.5,735904.875
14426,1900-05-31 06:45:00,15.4,12.82938404,75.0,05-31 06:45,6.75,82.58438027,211.4456329345703,89.00888061523438,83.42999267578125,0.0,0.0,0.0,30.0,1.0,1.0,80.33200073242188,80.37799835205078,0.0,142.1013641357422,0.0,70.0,50.54991912841797,91.98561096191406,71.0,63.0,71.6916732788086,89.43185424804688,86.83110046386719,71.0,65.0,77.1651840209961,4029997.0,735925.1875
14427,1900-05-31 07:00:00,16.1,13.14247551,72.0,05-31 07:00,7.0,81.81629619,202.63992309570312,89.81668090820312,83.53780364990234,0.0,1.0,1.0,30.0,1.0,1.0,80.6919937133789,80.68800354003906,0.0,65.14337158203125,0.0,70.0,47.83000564575195,95.43888092041016,71.0,63.0,71.48629760742188,89.27815246582031,86.97777557373047,71.0,65.0,77.09851837158203,4030015.0,735963.1875
