TIMESTAMP_x,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep) 
 01/02  09:30:00,10.5,9.169712049,84.5
 01/02  09:45:00,11.25,9.772122158,83.25
 01/02  10:00:00,12,10.36801978,82
 01/02  10:15:00,12.25,10.4866549,80.75
 01/02  10:30:00,12.5,10.60277124,79.5
 01/02  10:45:00,12.75,10.71632778,78.25
 01/02  11:00:00,13,10.82729889,77
 01/02  11:15:00,13,10.82706531,77
 01/02  11:30:00,13,10.8268346,77
 01/02  11:45:00,13,10.82660703,77
 01/02  12:00:00,13,10.8263746,77
 01/02  12:15:00,13.25,10.93441081,75.75
 01/02  12:30:00,13.5,11.03974846,74.5
 01/02  12:45:00,13.75,11.14234745,73.25
 01/02  13:00:00,14,11.24216433,72
 01/02  13:15:00,13.75,11.14207375,73.25
 01/02  13:30:00,13.5,11.039229,74.5
 01/02  13:45:00,13.25,10.9336744,75.75
 01/02  14:00:00,13,10.82545132,77
 01/02  14:15:00,13.25,10.93342714,75.75
 01/02  14:30:00,13.5,11.0387094,74.5
 01/02  14:45:00,13.75,11.14124709,73.25
 01/02  15:00:00,14,11.24100807,72
 01/02  15:15:00,13.75,11.1409736,73.25
 01/02  15:30:00,13.5,11.03819042,74.5
 01/02  15:45:00,13.25,10.93269099,75.75
 01/02  16:00:00,13,10.82452464,77
 01/02  16:15:00,12.75,10.56800064,76.75
 01/02  16:30:00,12.5,10.31186889,76.5
 01/02  16:45:00,12.25,10.05612606,76.25
 01/02  17:00:00,12,9.800772872,76
 01/02  17:15:00,12,9.943049406,77.5
 01/02  17:30:00,12,10.0846594,79
 01/02  17:45:00,12,10.225612,80.5
 01/02  18:00:00,12,10.36590747,82
 01/02  18:15:00,12,10.36590747,82
 01/02  18:30:00,12,10.36590747,82
 01/02  18:45:00,12,10.36590747,82
 01/02  19:00:00,12,10.36590747,82
 01/02  19:15:00,11.75,10.24494607,83.25
 01/02  19:30:00,11.5,10.1215376,84.5
 01/02  19:45:00,11.25,9.995708215,85.75
 01/02  20:00:00,11,9.867492389,87
 01/02  20:15:00,11,9.756324178,85.75
 01/02  20:30:00,11,9.644748776,84.5
 01/02  20:45:00,11,9.532764463,83.25
 01/02  21:00:00,11,9.420364829,82
 01/02  21:15:00,11,9.420364829,82
 01/02  21:30:00,11,9.420364829,82
 01/02  21:45:00,11,9.420364829,82
 01/02  22:00:00,11,9.420364829,82
 01/02  22:15:00,10.75,9.295345222,83.25
 01/02  22:30:00,10.5,9.167919554,84.5
 01/02  22:45:00,10.25,9.0381206,85.75
 01/02  23:00:00,10,8.90597641,87
 01/02  23:15:00,9.75,8.665448977,87
 01/02  23:30:00,9.5,8.424912421,87
 01/02  23:45:00,9.25,8.184359365,87
 01/02  24:00:00,9,7.943799698,87
 01/03  00:15:00,9,7.943676385,87
 01/03  00:30:00,9,7.943552262,87
 01/03  00:45:00,9,7.943427137,87
